Datetime,^GSPC
2024-11-01 19:11:00+00:00,5743.31005859375
2024-11-01 19:12:00+00:00,5745.2001953125
2024-11-01 19:13:00+00:00,5745.22998046875
2024-11-01 19:14:00+00:00,5745.9599609375
2024-11-01 19:15:00+00:00,5743.35009765625
2024-11-01 19:16:00+00:00,5743.8798828125
2024-11-01 19:17:00+00:00,5744.56982421875
2024-11-01 19:18:00+00:00,5744.64990234375
2024-11-01 19:19:00+00:00,5745.22998046875
2024-11-01 19:20:00+00:00,5745.47998046875
2024-11-01 19:21:00+00:00,5744.669921875
2024-11-01 19:22:00+00:00,5744.580078125
2024-11-01 19:23:00+00:00,5743.08984375
2024-11-01 19:24:00+00:00,5743.240234375
2024-11-01 19:25:00+00:00,5741.1201171875
2024-11-01 19:26:00+00:00,5741.740234375
2024-11-01 19:27:00+00:00,5739.89013671875
2024-11-01 19:28:00+00:00,5737.4599609375
2024-11-01 19:29:00+00:00,5735.31005859375
2024-11-01 19:30:00+00:00,5734.7998046875
2024-11-01 19:31:00+00:00,5734.8798828125
2024-11-01 19:32:00+00:00,5735.990234375
2024-11-01 19:33:00+00:00,5734.7998046875
2024-11-01 19:34:00+00:00,5735.06005859375
2024-11-01 19:35:00+00:00,5733.89013671875
2024-11-01 19:36:00+00:00,5733.7001953125
2024-11-01 19:37:00+00:00,5733.3701171875
2024-11-01 19:38:00+00:00,5732.009765625
2024-11-01 19:39:00+00:00,5734.43017578125
2024-11-01 19:40:00+00:00,5734.4599609375
2024-11-01 19:41:00+00:00,5736.1298828125
2024-11-01 19:42:00+00:00,5738.990234375
2024-11-01 19:43:00+00:00,5738.10986328125
2024-11-01 19:44:00+00:00,5734.93994140625
2024-11-01 19:45:00+00:00,5733.68017578125
2024-11-01 19:46:00+00:00,5735.27001953125
2024-11-01 19:47:00+00:00,5734.31005859375
2024-11-01 19:48:00+00:00,5732.10986328125
2024-11-01 19:49:00+00:00,5731.43017578125
2024-11-01 19:50:00+00:00,5725.52978515625
2024-11-01 19:51:00+00:00,5724.68017578125
2024-11-01 19:52:00+00:00,5726.240234375
2024-11-01 19:53:00+00:00,5724.7099609375
2024-11-01 19:54:00+00:00,5731.080078125
2024-11-01 19:55:00+00:00,5731.02001953125
2024-11-01 19:56:00+00:00,5727.4501953125
2024-11-01 19:57:00+00:00,5727.419921875
2024-11-01 19:58:00+00:00,5726.02001953125
2024-11-01 19:59:00+00:00,5728.43017578125
2024-11-04 14:30:00+00:00,5728.56005859375
2024-11-04 14:31:00+00:00,5725.419921875
2024-11-04 14:32:00+00:00,5726.5400390625
2024-11-04 14:33:00+00:00,5723.1298828125
2024-11-04 14:34:00+00:00,5717.64013671875
2024-11-04 14:35:00+00:00,5717.1201171875
2024-11-04 14:36:00+00:00,5709.39013671875
2024-11-04 14:37:00+00:00,5710.77978515625
2024-11-04 14:38:00+00:00,5712.06982421875
